Week,bitcoin: (Worldwide)
1/3/2016,12
1/10/2016,13
1/17/2016,13
1/24/2016,11
1/31/2016,11
2/7/2016,11
2/14/2016,13
2/21/2016,12
2/28/2016,11
3/6/2016,11
3/13/2016,11
3/20/2016,10
3/27/2016,11
4/3/2016,10
4/10/2016,11
4/17/2016,11
4/24/2016,12
5/1/2016,18
5/8/2016,12
5/15/2016,11
5/22/2016,11
5/29/2016,15
6/5/2016,14
6/12/2016,21
6/19/2016,20
6/26/2016,16
7/3/2016,16
7/10/2016,14
7/17/2016,12
7/24/2016,12
7/31/2016,16
8/7/2016,12
8/14/2016,11
8/21/2016,11
8/28/2016,11
9/4/2016,12
9/11/2016,12
9/18/2016,12
9/25/2016,12
10/2/2016,12
10/9/2016,12
10/16/2016,12
10/23/2016,14
10/30/2016,16
11/6/2016,15
11/13/2016,15
11/20/2016,15
11/27/2016,15
12/4/2016,15
12/11/2016,15
12/18/2016,19
12/25/2016,22
1/1/2017,34
1/8/2017,26
1/15/2017,20
1/22/2017,19
1/29/2017,20
2/5/2017,21
2/12/2017,20
2/19/2017,23
2/26/2017,28
3/5/2017,32
3/12/2017,26
3/19/2017,26
3/26/2017,22
4/2/2017,22
4/9/2017,22
4/16/2017,22
4/23/2017,23
4/30/2017,33
5/7/2017,46
5/14/2017,53
5/21/2017,89
5/28/2017,58
6/4/2017,57
6/11/2017,62
6/18/2017,51
6/25/2017,52
7/2/2017,42
7/9/2017,48
7/16/2017,55
7/23/2017,51
7/30/2017,71
8/6/2017,68
8/13/2017,94
8/20/2017,75
8/27/2017,80
9/3/2017,84
9/10/2017,100
9/17/2017,74
9/24/2017,59
